timestamps,open,high,low,close,volume,amount
2026-07-16 09:15:00,24140.69921875,24153.599609375,24119.099609375,24126.05078125,0.0,0.0
2026-07-16 09:16:00,24127.849609375,24141.099609375,24124.0,24139.099609375,0.0,0.0
2026-07-16 09:17:00,24137.599609375,24150.099609375,24136.650390625,24145.69921875,0.0,0.0
2026-07-16 09:18:00,24149.30078125,24164.25,24146.94921875,24163.150390625,0.0,0.0
2026-07-16 09:19:00,24162.94921875,24166.75,24154.30078125,24157.05078125,0.0,0.0
2026-07-16 09:20:00,24157.05078125,24165.849609375,24154.5,24157.0,0.0,0.0
2026-07-16 09:21:00,24157.19921875,24157.19921875,24132.94921875,24137.599609375,0.0,0.0
2026-07-16 09:22:00,24140.05078125,24149.099609375,24135.900390625,24141.650390625,0.0,0.0
2026-07-16 09:23:00,24142.400390625,24148.19921875,24137.900390625,24141.69921875,0.0,0.0
2026-07-16 09:24:00,24143.19921875,24145.25,24137.849609375,24140.44921875,0.0,0.0
2026-07-16 09:25:00,24143.05078125,24146.44921875,24140.5,24141.0,0.0,0.0
2026-07-16 09:26:00,24143.099609375,24145.349609375,24135.69921875,24138.400390625,0.0,0.0
2026-07-16 09:27:00,24140.599609375,24143.900390625,24129.80078125,24130.30078125,0.0,0.0
2026-07-16 09:28:00,24130.55078125,24130.55078125,24121.75,24122.30078125,0.0,0.0
2026-07-16 09:29:00,24123.900390625,24130.849609375,24118.650390625,24127.5,0.0,0.0
2026-07-16 09:30:00,24129.25,24141.69921875,24127.400390625,24136.849609375,0.0,0.0
2026-07-16 09:31:00,24138.19921875,24138.5,24127.0,24128.599609375,0.0,0.0
2026-07-16 09:32:00,24129.849609375,24132.05078125,24125.69921875,24128.80078125,0.0,0.0
2026-07-16 09:33:00,24130.94921875,24131.099609375,24120.150390625,24122.69921875,0.0,0.0
2026-07-16 09:34:00,24123.349609375,24123.55078125,24110.349609375,24110.44921875,0.0,0.0
2026-07-16 09:35:00,24112.0,24112.19921875,24105.55078125,24107.650390625,0.0,0.0
2026-07-16 09:36:00,24110.19921875,24112.30078125,24097.30078125,24099.900390625,0.0,0.0
2026-07-16 09:37:00,24102.0,24119.75,24101.099609375,24113.849609375,0.0,0.0
2026-07-16 09:38:00,24114.44921875,24114.5,24102.75,24104.5,0.0,0.0
2026-07-16 09:39:00,24104.69921875,24109.80078125,24103.150390625,24108.099609375,0.0,0.0
2026-07-16 09:40:00,24110.44921875,24114.900390625,24106.30078125,24112.099609375,0.0,0.0
2026-07-16 09:41:00,24114.400390625,24122.599609375,24111.849609375,24119.69921875,0.0,0.0
2026-07-16 09:42:00,24119.94921875,24135.69921875,24118.94921875,24131.19921875,0.0,0.0
2026-07-16 09:43:00,24132.25,24137.55078125,24127.400390625,24133.349609375,0.0,0.0
2026-07-16 09:44:00,24135.19921875,24141.099609375,24130.25,24140.849609375,0.0,0.0
2026-07-16 09:45:00,24141.599609375,24145.75,24138.44921875,24139.19921875,0.0,0.0
2026-07-16 09:46:00,24140.80078125,24140.80078125,24131.30078125,24138.0,0.0,0.0
2026-07-16 09:47:00,24140.400390625,24141.75,24133.75,24134.0,0.0,0.0
2026-07-16 09:48:00,24134.94921875,24134.94921875,24124.25,24127.19921875,0.0,0.0
2026-07-16 09:49:00,24129.55078125,24129.599609375,24120.94921875,24122.599609375,0.0,0.0
2026-07-16 09:50:00,24124.25,24124.25,24114.69921875,24121.349609375,0.0,0.0
2026-07-16 09:51:00,24121.19921875,24123.900390625,24112.25,24113.400390625,0.0,0.0
2026-07-16 09:52:00,24116.599609375,24116.599609375,24111.650390625,24114.5,0.0,0.0
2026-07-16 09:53:00,24115.94921875,24118.94921875,24113.400390625,24116.19921875,0.0,0.0
2026-07-16 09:54:00,24117.900390625,24125.94921875,24113.400390625,24125.55078125,0.0,0.0
2026-07-16 09:55:00,24126.75,24137.349609375,24125.25,24135.150390625,0.0,0.0
2026-07-16 09:56:00,24137.400390625,24140.150390625,24135.099609375,24135.94921875,0.0,0.0
2026-07-16 09:57:00,24137.05078125,24140.80078125,24133.55078125,24138.0,0.0,0.0
2026-07-16 09:58:00,24138.349609375,24140.0,24135.80078125,24137.44921875,0.0,0.0
2026-07-16 09:59:00,24138.650390625,24138.650390625,24126.80078125,24128.099609375,0.0,0.0
2026-07-16 10:00:00,24128.150390625,24128.80078125,24122.599609375,24124.05078125,0.0,0.0
2026-07-16 10:01:00,24125.94921875,24133.099609375,24123.44921875,24132.30078125,0.0,0.0
2026-07-16 10:02:00,24133.19921875,24141.0,24131.349609375,24139.0,0.0,0.0
2026-07-16 10:03:00,24140.150390625,24140.19921875,24129.69921875,24131.44921875,0.0,0.0
2026-07-16 10:04:00,24133.150390625,24133.5,24128.849609375,24130.349609375,0.0,0.0
2026-07-16 10:05:00,24131.19921875,24131.19921875,24117.55078125,24121.349609375,0.0,0.0
2026-07-16 10:06:00,24123.30078125,24124.150390625,24118.69921875,24122.94921875,0.0,0.0
2026-07-16 10:07:00,24124.099609375,24125.55078125,24120.19921875,24123.94921875,0.0,0.0
2026-07-16 10:08:00,24124.150390625,24127.69921875,24121.55078125,24125.05078125,0.0,0.0
2026-07-16 10:09:00,24125.80078125,24133.0,24124.349609375,24125.599609375,0.0,0.0
2026-07-16 10:10:00,24127.25,24127.75,24114.80078125,24117.0,0.0,0.0
2026-07-16 10:11:00,24118.69921875,24120.94921875,24116.30078125,24118.349609375,0.0,0.0
2026-07-16 10:12:00,24121.5,24121.5,24116.75,24117.75,0.0,0.0
2026-07-16 10:13:00,24118.94921875,24125.900390625,24117.150390625,24123.75,0.0,0.0
2026-07-16 10:14:00,24125.55078125,24129.599609375,24123.80078125,24126.44921875,0.0,0.0
2026-07-16 10:15:00,24128.400390625,24131.150390625,24123.05078125,24130.349609375,0.0,0.0
2026-07-16 10:16:00,24132.0,24134.55078125,24129.599609375,24133.349609375,0.0,0.0
2026-07-16 10:17:00,24134.5,24140.400390625,24129.80078125,24130.599609375,0.0,0.0
2026-07-16 10:18:00,24132.400390625,24132.69921875,24124.0,24128.650390625,0.0,0.0
2026-07-16 10:19:00,24128.94921875,24131.5,24125.5,24125.80078125,0.0,0.0
2026-07-16 10:20:00,24127.349609375,24129.69921875,24120.849609375,24122.849609375,0.0,0.0
2026-07-16 10:21:00,24123.349609375,24126.75,24121.30078125,24125.19921875,0.0,0.0
2026-07-16 10:22:00,24127.849609375,24129.05078125,24124.849609375,24126.599609375,0.0,0.0
2026-07-16 10:23:00,24128.75,24129.599609375,24125.44921875,24126.80078125,0.0,0.0
2026-07-16 10:24:00,24128.5,24131.0,24126.650390625,24130.19921875,0.0,0.0
2026-07-16 10:25:00,24130.69921875,24130.69921875,24123.25,24124.099609375,0.0,0.0
2026-07-16 10:26:00,24125.05078125,24125.69921875,24117.25,24117.349609375,0.0,0.0
2026-07-16 10:27:00,24119.099609375,24119.099609375,24107.44921875,24110.599609375,0.0,0.0
2026-07-16 10:28:00,24111.55078125,24121.19921875,24109.80078125,24118.69921875,0.0,0.0
2026-07-16 10:29:00,24120.55078125,24127.150390625,24118.849609375,24123.5,0.0,0.0
2026-07-16 10:30:00,24124.400390625,24124.400390625,24116.849609375,24119.400390625,0.0,0.0
2026-07-16 10:31:00,24121.400390625,24125.0,24116.44921875,24122.69921875,0.0,0.0
2026-07-16 10:32:00,24123.900390625,24124.05078125,24119.30078125,24119.69921875,0.0,0.0
2026-07-16 10:33:00,24120.900390625,24124.349609375,24116.599609375,24120.599609375,0.0,0.0
2026-07-16 10:34:00,24120.80078125,24121.80078125,24114.80078125,24116.44921875,0.0,0.0
2026-07-16 10:35:00,24118.099609375,24118.099609375,24111.099609375,24112.0,0.0,0.0
2026-07-16 10:36:00,24113.650390625,24120.849609375,24111.05078125,24120.05078125,0.0,0.0
2026-07-16 10:37:00,24120.849609375,24120.849609375,24111.80078125,24111.80078125,0.0,0.0
2026-07-16 10:38:00,24113.400390625,24115.94921875,24109.900390625,24113.5,0.0,0.0
2026-07-16 10:39:00,24113.5,24114.80078125,24109.55078125,24113.75,0.0,0.0
2026-07-16 10:40:00,24115.599609375,24117.19921875,24113.25,24115.349609375,0.0,0.0
2026-07-16 10:41:00,24116.5,24123.0,24114.349609375,24122.900390625,0.0,0.0
2026-07-16 10:42:00,24124.19921875,24124.19921875,24117.349609375,24119.05078125,0.0,0.0
2026-07-16 10:43:00,24120.30078125,24122.650390625,24118.75,24120.599609375,0.0,0.0
2026-07-16 10:44:00,24121.650390625,24126.75,24119.69921875,24126.55078125,0.0,0.0
2026-07-16 10:45:00,24127.44921875,24129.650390625,24123.94921875,24127.75,0.0,0.0
2026-07-16 10:46:00,24130.0,24135.55078125,24128.5,24134.05078125,0.0,0.0
2026-07-16 10:47:00,24136.19921875,24143.650390625,24135.099609375,24141.849609375,0.0,0.0
2026-07-16 10:48:00,24143.349609375,24146.19921875,24141.099609375,24144.94921875,0.0,0.0
2026-07-16 10:49:00,24145.55078125,24148.099609375,24143.05078125,24146.349609375,0.0,0.0
2026-07-16 10:50:00,24147.5,24157.44921875,24144.80078125,24155.44921875,0.0,0.0
2026-07-16 10:51:00,24156.69921875,24156.80078125,24147.05078125,24151.599609375,0.0,0.0
2026-07-16 10:52:00,24153.05078125,24154.05078125,24149.099609375,24151.44921875,0.0,0.0
2026-07-16 10:53:00,24153.44921875,24155.349609375,24150.69921875,24153.849609375,0.0,0.0
2026-07-16 10:54:00,24154.75,24154.75,24149.75,24150.900390625,0.0,0.0
2026-07-16 10:55:00,24153.099609375,24160.80078125,24152.099609375,24158.55078125,0.0,0.0
2026-07-16 10:56:00,24160.80078125,24163.349609375,24157.5,24160.44921875,0.0,0.0
2026-07-16 10:57:00,24162.900390625,24165.400390625,24160.05078125,24163.400390625,0.0,0.0
2026-07-16 10:58:00,24164.650390625,24165.94921875,24162.19921875,24163.900390625,0.0,0.0
2026-07-16 10:59:00,24165.19921875,24169.19921875,24161.69921875,24168.599609375,0.0,0.0
2026-07-16 11:00:00,24170.650390625,24184.0,24170.19921875,24180.75,0.0,0.0
2026-07-16 11:01:00,24183.349609375,24185.5,24180.099609375,24184.5,0.0,0.0
2026-07-16 11:02:00,24185.900390625,24186.0,24176.05078125,24176.5,0.0,0.0
2026-07-16 11:03:00,24178.150390625,24180.599609375,24174.69921875,24177.94921875,0.0,0.0
2026-07-16 11:04:00,24178.900390625,24179.349609375,24172.94921875,24173.55078125,0.0,0.0
2026-07-16 11:05:00,24175.400390625,24175.55078125,24168.19921875,24168.849609375,0.0,0.0
2026-07-16 11:06:00,24170.25,24170.25,24162.75,24166.5,0.0,0.0
2026-07-16 11:07:00,24167.80078125,24169.0,24162.650390625,24168.099609375,0.0,0.0
2026-07-16 11:08:00,24169.44921875,24172.650390625,24167.5,24169.05078125,0.0,0.0
2026-07-16 11:09:00,24169.900390625,24169.900390625,24161.900390625,24169.55078125,0.0,0.0
2026-07-16 11:10:00,24170.900390625,24171.599609375,24163.849609375,24166.599609375,0.0,0.0
2026-07-16 11:11:00,24168.150390625,24169.25,24164.599609375,24166.5,0.0,0.0
2026-07-16 11:12:00,24167.75,24168.099609375,24162.19921875,24162.19921875,0.0,0.0
2026-07-16 11:13:00,24163.80078125,24166.849609375,24161.05078125,24163.099609375,0.0,0.0
2026-07-16 11:14:00,24165.25,24165.25,24156.44921875,24157.900390625,0.0,0.0
2026-07-16 11:15:00,24159.099609375,24162.44921875,24156.94921875,24160.099609375,0.0,0.0
2026-07-16 11:16:00,24161.400390625,24163.5,24159.55078125,24160.599609375,0.0,0.0
2026-07-16 11:17:00,24162.150390625,24162.150390625,24152.44921875,24153.900390625,0.0,0.0
2026-07-16 11:18:00,24155.150390625,24158.849609375,24151.650390625,24157.400390625,0.0,0.0
2026-07-16 11:19:00,24159.44921875,24159.44921875,24147.30078125,24148.150390625,0.0,0.0
2026-07-16 11:20:00,24149.80078125,24156.349609375,24147.900390625,24155.650390625,0.0,0.0
2026-07-16 11:21:00,24157.19921875,24162.5,24155.400390625,24155.94921875,0.0,0.0
2026-07-16 11:22:00,24158.75,24160.05078125,24155.44921875,24156.400390625,0.0,0.0
2026-07-16 11:23:00,24150.25,24150.25,24150.25,24150.25,0.0,0.0
2026-07-16 11:29:00,24145.05078125,24148.55078125,24142.099609375,24146.349609375,0.0,0.0
2026-07-16 11:30:00,24148.94921875,24149.0,24143.55078125,24148.30078125,0.0,0.0
2026-07-16 11:31:00,24150.349609375,24154.5,24145.75,24153.30078125,0.0,0.0
2026-07-16 11:32:00,24155.349609375,24158.0,24151.75,24154.19921875,0.0,0.0
2026-07-16 11:33:00,24156.19921875,24157.55078125,24149.75,24153.94921875,0.0,0.0
2026-07-16 11:34:00,24155.0,24155.05078125,24149.650390625,24150.599609375,0.0,0.0
2026-07-16 11:35:00,24152.30078125,24156.349609375,24149.44921875,24154.5,0.0,0.0
2026-07-16 11:36:00,24156.150390625,24157.44921875,24152.099609375,24153.25,0.0,0.0
2026-07-16 11:37:00,24154.19921875,24155.94921875,24146.099609375,24146.099609375,0.0,0.0
2026-07-16 11:38:00,24146.849609375,24165.599609375,24144.0,24161.75,0.0,0.0
2026-07-16 11:39:00,24163.80078125,24164.19921875,24155.849609375,24160.0,0.0,0.0
2026-07-16 11:40:00,24162.55078125,24164.599609375,24159.75,24161.19921875,0.0,0.0
2026-07-16 11:41:00,24162.75,24166.80078125,24160.94921875,24164.75,0.0,0.0
2026-07-16 11:42:00,24166.19921875,24166.19921875,24153.25,24154.25,0.0,0.0
2026-07-16 11:43:00,24157.099609375,24157.25,24147.849609375,24150.150390625,0.0,0.0
2026-07-16 11:44:00,24151.94921875,24152.400390625,24147.0,24149.5,0.0,0.0
2026-07-16 11:45:00,24151.55078125,24155.400390625,24149.44921875,24152.650390625,0.0,0.0
2026-07-16 11:46:00,24152.94921875,24153.55078125,24148.55078125,24152.69921875,0.0,0.0
2026-07-16 11:47:00,24154.19921875,24154.19921875,24149.80078125,24150.900390625,0.0,0.0
2026-07-16 11:48:00,24152.55078125,24153.349609375,24146.69921875,24148.44921875,0.0,0.0
2026-07-16 11:49:00,24149.55078125,24152.400390625,24146.400390625,24148.55078125,0.0,0.0
2026-07-16 11:50:00,24150.94921875,24152.25,24143.900390625,24144.349609375,0.0,0.0
2026-07-16 11:51:00,24147.19921875,24149.94921875,24139.0,24147.80078125,0.0,0.0
2026-07-16 11:52:00,24148.80078125,24149.599609375,24144.0,24144.75,0.0,0.0
2026-07-16 11:53:00,24146.30078125,24149.599609375,24145.19921875,24148.75,0.0,0.0
2026-07-16 11:54:00,24149.69921875,24152.75,24146.44921875,24152.75,0.0,0.0
2026-07-16 11:55:00,24153.55078125,24153.55078125,24146.19921875,24146.849609375,0.0,0.0
2026-07-16 11:56:00,24149.099609375,24151.0,24146.400390625,24149.80078125,0.0,0.0
2026-07-16 11:57:00,24151.150390625,24154.900390625,24147.150390625,24153.25,0.0,0.0
2026-07-16 11:58:00,24153.55078125,24153.650390625,24148.30078125,24149.19921875,0.0,0.0
2026-07-16 11:59:00,24151.30078125,24154.69921875,24146.849609375,24151.0,0.0,0.0
2026-07-16 12:00:00,24153.05078125,24154.05078125,24149.55078125,24151.25,0.0,0.0
2026-07-16 12:01:00,24152.400390625,24152.400390625,24145.0,24145.30078125,0.0,0.0
2026-07-16 12:02:00,24146.0,24147.80078125,24142.5,24144.349609375,0.0,0.0
2026-07-16 12:03:00,24145.80078125,24145.80078125,24135.900390625,24137.5,0.0,0.0
2026-07-16 12:04:00,24138.599609375,24140.349609375,24134.099609375,24138.650390625,0.0,0.0
2026-07-16 12:05:00,24141.0,24142.44921875,24137.150390625,24141.25,0.0,0.0
2026-07-16 12:06:00,24143.099609375,24144.099609375,24140.099609375,24142.80078125,0.0,0.0
2026-07-16 12:07:00,24143.599609375,24143.900390625,24136.5,24137.400390625,0.0,0.0
2026-07-16 12:08:00,24139.19921875,24142.900390625,24134.80078125,24142.80078125,0.0,0.0
2026-07-16 12:09:00,24144.150390625,24144.80078125,24137.94921875,24139.55078125,0.0,0.0
2026-07-16 12:10:00,24140.5,24141.30078125,24137.349609375,24139.94921875,0.0,0.0
2026-07-16 12:11:00,24142.25,24144.900390625,24139.94921875,24140.69921875,0.0,0.0
2026-07-16 12:12:00,24142.19921875,24144.650390625,24138.75,24139.30078125,0.0,0.0
2026-07-16 12:13:00,24140.25,24140.25,24134.400390625,24135.400390625,0.0,0.0
2026-07-16 12:14:00,24137.55078125,24137.55078125,24132.44921875,24133.900390625,0.0,0.0
2026-07-16 12:15:00,24136.30078125,24138.44921875,24133.349609375,24135.349609375,0.0,0.0
2026-07-16 12:16:00,24136.75,24136.75,24132.0,24133.900390625,0.0,0.0
2026-07-16 12:17:00,24135.80078125,24139.150390625,24132.94921875,24137.400390625,0.0,0.0
2026-07-16 12:18:00,24138.75,24139.25,24132.349609375,24134.5,0.0,0.0
2026-07-16 12:19:00,24135.900390625,24138.80078125,24131.94921875,24138.5,0.0,0.0
2026-07-16 12:20:00,24139.75,24140.19921875,24137.30078125,24139.25,0.0,0.0
2026-07-16 12:21:00,24140.44921875,24140.849609375,24137.0,24139.349609375,0.0,0.0
2026-07-16 12:22:00,24139.80078125,24140.75,24133.349609375,24136.05078125,0.0,0.0
2026-07-16 12:23:00,24138.349609375,24138.599609375,24132.5,24133.349609375,0.0,0.0
2026-07-16 12:24:00,24135.44921875,24139.75,24132.05078125,24138.19921875,0.0,0.0
2026-07-16 12:25:00,24139.05078125,24150.400390625,24137.650390625,24149.30078125,0.0,0.0
2026-07-16 12:26:00,24150.900390625,24152.849609375,24149.099609375,24151.75,0.0,0.0
2026-07-16 12:27:00,24153.099609375,24153.849609375,24147.69921875,24150.19921875,0.0,0.0
2026-07-16 12:28:00,24152.30078125,24161.400390625,24150.44921875,24158.0,0.0,0.0
2026-07-16 12:29:00,24158.30078125,24163.44921875,24157.05078125,24159.599609375,0.0,0.0
2026-07-16 12:30:00,24160.650390625,24160.650390625,24153.400390625,24156.650390625,0.0,0.0
2026-07-16 12:31:00,24157.55078125,24157.55078125,24151.30078125,24154.099609375,0.0,0.0
2026-07-16 12:32:00,24154.30078125,24155.849609375,24149.44921875,24149.849609375,0.0,0.0
2026-07-16 12:33:00,24151.099609375,24152.0,24142.849609375,24144.19921875,0.0,0.0
2026-07-16 12:34:00,24145.44921875,24148.400390625,24140.650390625,24146.5,0.0,0.0
2026-07-16 12:35:00,24147.349609375,24149.80078125,24139.5,24142.05078125,0.0,0.0
2026-07-16 12:36:00,24144.150390625,24148.349609375,24142.80078125,24145.55078125,0.0,0.0
2026-07-16 12:37:00,24147.400390625,24147.400390625,24141.400390625,24142.05078125,0.0,0.0
2026-07-16 12:38:00,24144.599609375,24144.599609375,24137.55078125,24141.0,0.0,0.0
2026-07-16 12:39:00,24141.30078125,24143.75,24138.900390625,24141.400390625,0.0,0.0
2026-07-16 12:40:00,24142.849609375,24144.0,24138.900390625,24143.19921875,0.0,0.0
2026-07-16 12:41:00,24144.0,24144.69921875,24138.0,24143.150390625,0.0,0.0
2026-07-16 12:42:00,24142.94921875,24143.900390625,24133.599609375,24133.80078125,0.0,0.0
2026-07-16 12:43:00,24136.650390625,24136.650390625,24126.349609375,24130.849609375,0.0,0.0
2026-07-16 12:44:00,24131.94921875,24135.0,24128.25,24130.400390625,0.0,0.0
2026-07-16 12:45:00,24133.099609375,24135.599609375,24128.80078125,24134.5,0.0,0.0
2026-07-16 12:46:00,24135.349609375,24136.25,24131.599609375,24132.400390625,0.0,0.0
2026-07-16 12:47:00,24134.150390625,24134.150390625,24131.5,24132.94921875,0.0,0.0
2026-07-16 12:48:00,24134.900390625,24134.900390625,24131.19921875,24132.5,0.0,0.0
2026-07-16 12:49:00,24134.25,24134.650390625,24130.150390625,24131.900390625,0.0,0.0
2026-07-16 12:50:00,24133.75,24133.80078125,24129.900390625,24131.94921875,0.0,0.0
2026-07-16 12:51:00,24132.19921875,24133.75,24128.900390625,24129.30078125,0.0,0.0
2026-07-16 12:52:00,24130.849609375,24133.94921875,24129.0,24131.099609375,0.0,0.0
2026-07-16 12:53:00,24132.650390625,24132.650390625,24123.0,24123.849609375,0.0,0.0
2026-07-16 12:54:00,24125.19921875,24126.55078125,24120.25,24125.599609375,0.0,0.0
2026-07-16 12:55:00,24127.19921875,24127.19921875,24122.650390625,24126.650390625,0.0,0.0
2026-07-16 12:56:00,24127.900390625,24127.900390625,24121.849609375,24124.19921875,0.0,0.0
2026-07-16 12:57:00,24124.19921875,24128.349609375,24123.05078125,24123.44921875,0.0,0.0
