timestamps,open,high,low,close,volume,amount
2026-07-15 03:45:00,24082.44921875,24211.69921875,24074.69921875,24195.69921875,0.0,0.0
2026-07-15 04:00:00,24196.5,24217.849609375,24187.69921875,24195.099609375,0.0,0.0
2026-07-15 04:15:00,24195.900390625,24207.400390625,24184.099609375,24184.94921875,0.0,0.0
2026-07-15 04:30:00,24185.0,24203.55078125,24173.5,24202.30078125,0.0,0.0
2026-07-15 04:45:00,24202.19921875,24220.05078125,24200.400390625,24204.94921875,0.0,0.0
2026-07-15 05:00:00,24205.80078125,24212.650390625,24190.599609375,24207.75,0.0,0.0
2026-07-15 05:15:00,24207.44921875,24210.05078125,24184.099609375,24185.0,0.0,0.0
2026-07-15 05:30:00,24184.599609375,24198.30078125,24171.0,24172.849609375,0.0,0.0
2026-07-15 05:45:00,24173.599609375,24206.150390625,24172.150390625,24202.650390625,0.0,0.0
2026-07-15 06:00:00,24202.44921875,24214.650390625,24173.349609375,24174.400390625,0.0,0.0
2026-07-15 06:15:00,24174.19921875,24189.44921875,24166.80078125,24180.80078125,0.0,0.0
2026-07-15 06:30:00,24181.900390625,24191.75,24175.0,24191.05078125,0.0,0.0
2026-07-15 06:45:00,24193.400390625,24194.349609375,24168.44921875,24168.44921875,0.0,0.0
2026-07-15 07:00:00,24168.400390625,24174.19921875,24143.150390625,24160.099609375,0.0,0.0
2026-07-15 07:15:00,24160.150390625,24162.69921875,24010.94921875,24054.0,0.0,0.0
2026-07-15 07:30:00,24053.400390625,24077.69921875,24039.30078125,24054.400390625,0.0,0.0
2026-07-15 07:45:00,24053.69921875,24087.44921875,24046.75,24074.94921875,0.0,0.0
2026-07-15 08:00:00,24075.0,24076.650390625,24048.5,24061.599609375,0.0,0.0
2026-07-15 08:15:00,24061.30078125,24080.30078125,24044.849609375,24078.349609375,0.0,0.0
2026-07-15 08:30:00,24077.900390625,24098.80078125,24069.400390625,24086.44921875,0.0,0.0
2026-07-15 08:45:00,24086.349609375,24100.849609375,24066.650390625,24077.650390625,0.0,0.0
2026-07-15 09:00:00,24077.94921875,24107.05078125,24072.099609375,24101.5,0.0,0.0
2026-07-15 09:15:00,24099.849609375,24105.75,24066.19921875,24067.849609375,0.0,0.0
2026-07-15 09:30:00,24067.150390625,24091.599609375,24061.05078125,24077.75,0.0,0.0
2026-07-15 09:45:00,24076.099609375,24091.30078125,24069.80078125,24073.44921875,0.0,0.0
2026-07-16 03:45:00,24140.69921875,24166.75,24118.650390625,24127.5,0.0,0.0
2026-07-16 04:00:00,24129.25,24141.69921875,24097.30078125,24140.849609375,0.0,0.0
2026-07-16 04:15:00,24141.599609375,24145.75,24111.650390625,24128.099609375,0.0,0.0
2026-07-16 04:30:00,24128.150390625,24141.0,24114.80078125,24126.44921875,0.0,0.0
2026-07-16 04:45:00,24128.400390625,24140.400390625,24107.44921875,24123.5,0.0,0.0
2026-07-16 05:00:00,24124.400390625,24126.75,24109.55078125,24126.55078125,0.0,0.0
2026-07-16 05:15:00,24127.44921875,24169.19921875,24123.94921875,24168.599609375,0.0,0.0
2026-07-16 05:30:00,24170.650390625,24186.0,24156.44921875,24157.900390625,0.0,0.0
2026-07-16 05:45:00,24159.099609375,24163.5,24142.099609375,24146.349609375,0.0,0.0
2026-07-16 06:00:00,24148.94921875,24166.80078125,24143.55078125,24149.5,0.0,0.0
2026-07-16 06:15:00,24151.55078125,24155.400390625,24139.0,24151.0,0.0,0.0
2026-07-16 06:30:00,24153.05078125,24154.05078125,24132.44921875,24133.900390625,0.0,0.0
2026-07-16 06:45:00,24136.30078125,24163.44921875,24131.94921875,24159.599609375,0.0,0.0
2026-07-16 07:00:00,24160.650390625,24160.650390625,24126.349609375,24130.400390625,0.0,0.0
2026-07-16 07:15:00,24133.099609375,24136.25,24120.25,24124.30078125,0.0,0.0
2026-07-16 07:30:00,24124.55078125,24130.75,24110.5,24120.599609375,0.0,0.0
2026-07-16 07:45:00,24120.94921875,24122.19921875,24102.69921875,24105.80078125,0.0,0.0
2026-07-16 08:00:00,24107.400390625,24107.400390625,24053.19921875,24053.5,0.0,0.0
2026-07-16 08:15:00,24055.5,24097.150390625,24051.75,24096.19921875,0.0,0.0
2026-07-16 08:30:00,24096.400390625,24101.599609375,24085.349609375,24091.55078125,0.0,0.0
2026-07-16 08:45:00,24094.150390625,24111.900390625,24079.69921875,24085.849609375,0.0,0.0
2026-07-16 09:00:00,24089.05078125,24101.94921875,24083.25,24096.0,0.0,0.0
2026-07-16 09:15:00,24099.55078125,24124.099609375,24091.69921875,24111.650390625,0.0,0.0
2026-07-16 09:30:00,24114.44921875,24126.55078125,24065.94921875,24071.099609375,0.0,0.0
2026-07-16 09:45:00,24071.150390625,24090.150390625,24050.44921875,24081.099609375,0.0,0.0
2026-07-17 03:45:00,24127.599609375,24211.400390625,24100.900390625,24211.30078125,0.0,0.0
2026-07-17 04:00:00,24210.0,24231.44921875,24193.19921875,24230.400390625,0.0,0.0
2026-07-17 04:15:00,24231.30078125,24246.150390625,24217.349609375,24228.5,0.0,0.0
2026-07-17 04:30:00,24228.849609375,24248.94921875,24210.25,24239.349609375,0.0,0.0
2026-07-17 04:45:00,24239.849609375,24281.69921875,24238.19921875,24281.349609375,0.0,0.0
2026-07-17 05:00:00,24281.55078125,24288.349609375,24244.19921875,24259.30078125,0.0,0.0
2026-07-17 05:15:00,24259.099609375,24262.75,24245.05078125,24257.05078125,0.0,0.0
2026-07-17 05:30:00,24257.0,24264.150390625,24230.900390625,24235.900390625,0.0,0.0
2026-07-17 05:45:00,24235.69921875,24250.900390625,24232.650390625,24244.400390625,0.0,0.0
2026-07-17 06:00:00,24243.0,24269.0,24241.0,24267.25,0.0,0.0
2026-07-17 06:15:00,24267.19921875,24283.19921875,24264.900390625,24277.150390625,0.0,0.0
2026-07-17 06:30:00,24277.849609375,24279.94921875,24260.69921875,24276.75,0.0,0.0
2026-07-17 06:45:00,24276.55078125,24286.349609375,24267.349609375,24277.55078125,0.0,0.0
2026-07-17 07:00:00,24277.650390625,24284.599609375,24259.75,24277.05078125,0.0,0.0
2026-07-17 07:15:00,24277.05078125,24297.30078125,24270.69921875,24283.349609375,0.0,0.0
2026-07-17 07:30:00,24283.30078125,24287.44921875,24275.94921875,24282.75,0.0,0.0
2026-07-17 07:45:00,24282.55078125,24283.599609375,24257.400390625,24268.05078125,0.0,0.0
2026-07-17 08:00:00,24267.30078125,24276.44921875,24245.900390625,24254.30078125,0.0,0.0
2026-07-17 08:15:00,24254.25,24255.25,24213.44921875,24249.94921875,0.0,0.0
2026-07-17 08:30:00,24250.099609375,24284.44921875,24241.80078125,24281.599609375,0.0,0.0
2026-07-17 08:45:00,24280.55078125,24367.150390625,24280.55078125,24288.650390625,0.0,0.0
2026-07-17 09:00:00,24287.400390625,24321.05078125,24286.849609375,24318.25,0.0,0.0
2026-07-17 09:15:00,24317.650390625,24334.80078125,24311.69921875,24312.099609375,0.0,0.0
2026-07-17 09:30:00,24311.75,24338.25,24311.19921875,24329.349609375,0.0,0.0
2026-07-17 09:45:00,24328.75,24352.650390625,24320.30078125,24343.650390625,0.0,0.0
2026-07-20 03:45:00,24190.05078125,24261.599609375,24170.94921875,24191.69921875,0.0,0.0
2026-07-20 04:00:00,24191.900390625,24193.05078125,24159.599609375,24171.44921875,0.0,0.0
2026-07-20 04:15:00,24170.599609375,24198.5,24157.5,24190.25,0.0,0.0
2026-07-20 04:30:00,24191.25,24219.400390625,24179.80078125,24209.94921875,0.0,0.0
2026-07-20 04:45:00,24210.400390625,24232.349609375,24207.349609375,24230.25,0.0,0.0
2026-07-20 05:00:00,24229.900390625,24239.19921875,24213.55078125,24218.44921875,0.0,0.0
2026-07-20 05:15:00,24218.400390625,24232.400390625,24216.55078125,24228.650390625,0.0,0.0
2026-07-20 05:30:00,24228.599609375,24234.900390625,24211.05078125,24214.599609375,0.0,0.0
2026-07-20 05:45:00,24215.44921875,24224.80078125,24203.05078125,24209.900390625,0.0,0.0
2026-07-20 06:00:00,24210.05078125,24215.44921875,24194.94921875,24196.0,0.0,0.0
2026-07-20 06:15:00,24196.44921875,24197.150390625,24177.0,24189.5,0.0,0.0
2026-07-20 06:30:00,24189.599609375,24192.44921875,24174.25,24187.69921875,0.0,0.0
2026-07-20 06:45:00,24187.69921875,24199.900390625,24168.19921875,24171.69921875,0.0,0.0
2026-07-20 07:00:00,24172.0,24182.30078125,24156.05078125,24157.19921875,0.0,0.0
2026-07-20 07:15:00,24157.400390625,24190.30078125,24136.25,24186.80078125,0.0,0.0
2026-07-20 07:30:00,24186.69921875,24226.0,24175.80078125,24225.0,0.0,0.0
2026-07-20 07:45:00,24224.75,24246.349609375,24212.400390625,24243.30078125,0.0,0.0
2026-07-20 08:00:00,24243.19921875,24250.05078125,24227.5,24228.80078125,0.0,0.0
2026-07-20 08:15:00,24228.25,24257.900390625,24227.150390625,24254.650390625,0.0,0.0
2026-07-20 08:30:00,24254.5,24265.55078125,24248.25,24250.900390625,0.0,0.0
2026-07-20 08:45:00,24250.55078125,24259.099609375,24241.05078125,24254.75,0.0,0.0
2026-07-20 09:00:00,24254.80078125,24256.55078125,24224.75,24237.099609375,0.0,0.0
2026-07-20 09:15:00,24237.099609375,24251.0,24230.099609375,24230.69921875,0.0,0.0
2026-07-20 09:30:00,24233.599609375,24246.5,24228.400390625,24238.150390625,0.0,0.0
2026-07-20 09:45:00,24240.150390625,24248.44921875,24233.349609375,24239.5,0.0,0.0
