timeframe,price_at_215pm,predicted_close,official_nse_close,predicted_move_pts,actual_move_pts,mae_pts,is_win,signal
5 Minute,24251.55,24363.01,24383.0,111.45999999999913,131.45000000000073,19.9900000000016,True,BUY CALL (BULLISH)
1 Minute,24251.55,24288.59,24383.0,37.04000000000087,131.45000000000073,94.40999999999985,True,BUY CALL (BULLISH)
15 Minute,24251.55,24282.66,24383.0,31.110000000000582,131.45000000000073,100.34000000000015,True,BUY CALL (BULLISH)
